CITY,ZIP,PRICE,BEDS,BATHS,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,MLS,LATITUDE,LONGITUDE
Frisco,75035,410000,3,2,1904,6098,1995,215,20203321,33.145183,-96.792457
Frisco,75035,615000,4,3.5,3033,6970,2003,203,20231557,33.1345031,-96.748287
Frisco,75035,520000,4,2,2332,8712,1999,223,20218337,33.120747,-96.791462
Frisco,75035,569900,4,2,2301,7841,1994,248,20214881,33.1270149,-96.7800594
Frisco,75034,1500000,4,4.5,5125,9409,2004,293,20223723,33.131078,-96.813798
Frisco,75034,789900,4,3.5,3250,6098,2001,243,20189586,33.114863,-96.812786
Frisco,75034,1749900,4,5,4962,12197,2004,353,20163036,33.130381,-96.815689
Frisco,75034,989000,3,3.5,3660,6970,2000,270,20225453,33.099452,-96.838592
Frisco,75034,2550000,6,7,8500,15072,2006,300,20216386,33.0904348,-96.8538304
Frisco,75036,450000,2,2,1696,6273,2017,265,20219765,33.1359704,-96.9213537
Frisco,75036,515000,4,2.5,2866,5532,2014,180,20215018,33.1395093,-96.9276853
