SELLDATE,SELLMONTH,SELLYEAR,ADDRESS,CITY,STATE,ZIP, PRICE ,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YARDSPACE,YEARBUILT,SELLAGE,PRICE/SQFT,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
24-Feb-22,Feb-22,2022,1664 Sandstone Dr,Frisco,TX,75034,"$995,000.00 ",5,4.5,Lakeside At Lone Star Ranch,5128,9322,4194,2005,17,$194.03 ,47,14737762,33.1184019,-96.8766846
20-Aug-21,Aug-21,2021,1842 Hidalgo Ln,Frisco,TX,75034,"$840,000.00 ",4,3.5,The Hills Of Kingswood Ph 2,3100,8364,5264,2015,6,$270.97 ,300,14637503,33.1092,-96.875152
20-Dec-21,Dec-21,2021,4865 Club Terrace Ln,Frisco,TX,75036,"$680,000.00 ",5,4.5,Highland Ridge Ph 1,3525,7797,4272,2013,8,$192.91 ,95,14692991,33.1194655,-96.8858286
11-May-22,May-22,2022,7212 Bradford Pl,The Colony,TX,75056,"$400,000.00 ",4,2.5,Colony 19,2046,7100,5054,1983,39,$195.50 ,,20021566,33.103881,-96.8766099
15-Aug-22,Aug-22,2022,3561 Harvest Glen Dr,Frisco,TX,75034,"$1,195,000.00 ",4,3.5,The Hills Of Kingswood Ph 2,3453,8146,4693,2015,7,$346.08 ,165,20108846,33.108423,-96.874712
11-Jul-22,Jul-22,2022,7208 Langley Ct,The Colony,TX,75056,"$460,000.00 ",4,2.5,Colony 19,2146,9496,7350,1983,39,$214.35 ,,20062621,33.1032663,-96.8747883
15-Aug-22,Aug-22,2022,1669 Hidalgo Ln,Frisco,TX,75034,"$3,150,000.00 ",5,4,The Hills Of Kingswo,4827,13896,9069,2020,2,$652.58 ,220,20102849,33.1078769,-96.8771127
13-Aug-21,Aug-21,2021,583 Laverton Dr,Frisco,TX,75036,"$800,000.00 ",4,4.5,Mainvue At Phillips Creek Ranc,3945,8407,4462,2017,4,$202.79 ,182,14614273,33.1194418,-96.8878401
7-Jul-22,Jul-22,2022,636 Triple Bar Rd,Frisco,TX,75036,"$850,000.00 ",4,3.5,The Preserve At Lone Star Ranc,3427,15246,11819,2014,8,$248.03 ,89,20054372,33.114912,-96.887182
15-Jul-22,Jul-22,2022,1559 Bentgrass Dr,Frisco,TX,75036,"$779,900.00 ",4,3,Austin Ridge At Lone Star Ranc,3135,9888,6753,2010,12,$248.77 ,100,20086085,33.120316,-96.877959
19-Jan-22,Jan-22,2022,3328 Santa Bella,Frisco,TX,75034,"$2,669,858.00 ",5,6,Hills of Kingswood,6884,14375,7491,2021,1,$387.84 ,258,14704520,33.1067953,-96.8761071
