DATE,HPI
3/1/2022,288.06233
4/1/2022,297.18396
5/1/2022,304.7283
6/1/2022,307.80672
7/1/2022,306.50892
8/1/2022,300.65457
9/1/2022,294.45845
10/1/2022,290.70824
11/1/2022,287.47594
12/1/2022,284.37458
