SOLD_MONTH,PROPERTYTYPE,ADDRESS,CITY,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,HOA_MONTH,MLS,LATITUDE,LONGITUDE
,Single Family Residential,10108 Preston Vineyard Dr,Frisco,75035,350000,4,2.5,Preston Vineyards Sec One,2744,6098,1991,128,,14525104,33.136664,-96.793973
,Single Family Residential,6440 Waverly Ln,Frisco,75035,600000,5,3.5,Parkside Estates,3251,8276,2000,185,21,14702160,33.1314887,-96.7753946
,Single Family Residential,9905 Ashmont Dr,Frisco,75035,499000,4,2,Hillcrest Estates Ph Vii,2185,6970,1996,228,,20139991,33.1101452,-96.794366
,Single Family Residential,9613 Prestmont Pl,Frisco,75035,499999,4,2,Prestmont Ph 1,2125,7405,1995,235,24,20120735,33.1110879,-96.7980476
,Single Family Residential,6580 Plantation Ln,Frisco,75035,449000,4,2,Lakes Of Preston Vineyards Ph 2 The,1806,6534,1999,249,44,20111124,33.1326421,-96.7792463
,Single Family Residential,11104 Knoxville Ln,Frisco,75035,730000,5,3,Plantation Resort Ph Ic The,3182,6970,1993,229,27,20070612,33.1271381,-96.7822141
,Single Family Residential,5701 Vicksburg Pl,Frisco,75035,819000,5,3,Plantation Resort Ph Ia The,3547,10890,1993,231,27,20050793,33.125405,-96.7823187
,Single Family Residential,9804 Shelby Pl,Frisco,75035,345000,3,2,Prestmont #2,1737,6970,1996,199,24,14544424,33.10986,-96.796689
,Single Family Residential,11362 Newberry Dr,Frisco,75035,370000,3,2,Lakes Of Preston Vineyards Ph 4 The,1734,5663,2000,213,28,14704329,33.1346173,-96.7805824
,Single Family Residential,5605 Wilmington Dr,Frisco,75035,530000,4,3,Plantation Resort Ph Iiia The,3182,7405,1997,167,28,14667647,33.1246867,-96.7746207
,Single Family Residential,4102 Munira Dr,Frisco,75035,425000,4,2,Hillcrest Estates Ph VI,2140,6534,1996,199,,14557758,33.112633,-96.793647
,Single Family Residential,7114 Quarry Chop Dr,Frisco,75035,600000,6,4,Stonebryck Manor,4087,9583,2013,147,75,14570732,33.136971,-96.784483
,Single Family Residential,9705 Presthope Dr,Frisco,75035,400000,4,2,Prestmont Ph 1,1981,6970,1995,202,24,14683052,33.1127124,-96.7974405
,Single Family Residential,9911 Adolphus Dr,Frisco,75035,514000,4,3,Cecile Place Ph Iii-B,2820,8712,2000,182,30,14673274,33.1207823,-96.7938486
,Single Family Residential,9808 Concord Dr,Frisco,75035,314900,3,2,Preston Vineyards Sec One,1726,5227,1991,182,,14584611,33.1352615,-96.796758
,Single Family Residential,10907 Sweetwater Dr,Frisco,75035,650000,4,2,Hillcrest Estates Sec II Ph III,2602,8712,1997,250,40,20053968,33.1111067,-96.7848296
,Single Family Residential,10710 Preston Vineyard Dr,Frisco,75035,450000,3,2,Preston Vineyards Sec III Ph 2,2236,6970,1994,201,,14582251,33.135002,-96.787925
,Single Family Residential,9414 Shirland Ln,Frisco,75035,595500,4,3,Prestmont Ph II,2998,6970,1997,199,25,20050694,33.1106892,-96.800081
,Single Family Residential,5813 Charleston Dr,Frisco,75035,724000,5,3.5,Plantation Resort Ph Ib The,3781,7405,1993,191,30,20024670,33.1269165,-96.7850802
,Single Family Residential,9938 Boyton Canyon Rd,Frisco,75035,485000,3,2,Sedona Ph Two,1801,3920,2009,269,57,20036063,33.137715,-96.7960271
,Single Family Residential,12018 Chattanooga Dr,Frisco,75035,339999,3,2,Plantation Resort Ph Iiib The,1417,6534,1996,240,28,14532923,33.1301266,-96.7727826
,Single Family Residential,11398 Pear Ridge Dr,Frisco,75035,400000,4,2.5,Preston Vineyards North,2989,7405,2002,134,25,14657584,33.1390293,-96.7806661
,Single Family Residential,5513 Baton Rouge Blvd,Frisco,75035,625000,4,2.5,Plantation Resort Ph Ia The,2932,7405,1993,213,27,20008995,33.12431,-96.7875698
